1,Banjarmasin Barat,13.13 km²,143.402,10.726/km²,-3.3269951,114.5658407
2,Banjarmasin Selatan,38.27 km² ,145.958,7.233/km²,-3.3537346,114.6014743
3,Banjarmasin Tengah,6.66 km²,91.78,7.871/km²,-3.3195253,114.5866274
4,Banjarmasin Timur,"23,86 km²",111.902,9.697/km²,-3.3254205,114.6252282
5,Banjarmasin Utara,"16,54 km²",132.253,8.679/km²,-3.2894769,114.5895968
,,,,,,
